IID PC1 PC2 PC3 PC4 PC5 POPULATION
tsk_2183 16.93405 -1.4813638 0.33160385 1.3330641 -1.7382864 ESN
tsk_2186 16.005802 -1.489336 -0.8743658 -0.12558503 0.8999186 MSL
tsk_2188 17.734352 -0.460788 -0.48498547 1.0400771 1.1662623 MSL
tsk_2204 17.31239 0.080838025 -1.0130343 0.84075654 -0.2333769 ESN
tsk_2205 17.192453 -1.6945899 1.6225433 -0.6002269 0.12498679 ESN
tsk_2206 16.631708 -1.7366066 -0.8171293 -0.39118218 1.9089997 ESN
tsk_2210 17.806196 -2.00992 1.8959066 -1.0811273 -0.6320442 ESN
tsk_2211 16.693398 -1.5920087 -0.98834443 0.9986885 -0.09657457 ESN
tsk_2218 16.005148 -0.42754772 -2.1280882 -1.0951471 2.1412063 ESN
tsk_2227 16.717875 0.8945281 1.3512278 -0.25197232 0.76827955 ESN
tsk_2232 16.61615 -2.608006 0.36260238 0.06530531 -0.18011394 MSL
tsk_2235 16.55293 0.6130807 -1.5044799 1.4464939 -0.9001891 MSL
tsk_2244 17.143532 -0.27485272 -1.2215598 1.0868365 -0.60225594 MSL
tsk_2251 16.443277 -2.0597875 -0.20347367 1.0438873 1.3453339 MSL
tsk_2253 16.12152 0.18896472 0.40707472 -2.3353 -0.18698369 MSL
tsk_2259 16.254747 0.9431512 2.1563797 -1.5703223 3.5633 MSL
tsk_2266 17.69701 -1.339731 1.0203171 -1.0634236 -1.8928385 MSL
tsk_2281 16.391113 -1.660664 0.3892513 0.4759484 -0.2943621 ESN
tsk_2292 18.493036 -1.6512195 -0.16035862 -1.3840122 1.148062 MSL
tsk_2620 -5.0415998 -2.1354022 -2.3776512 0.62606186 0.6706946 CEU
tsk_2635 -5.182017 -3.4137049 7.2221127 -4.8011866 4.415609 CEU
tsk_2640 -6.827181 -0.36183816 -0.2261809 -1.3581415 5.104634 CEU
tsk_2651 -6.9586487 -2.8548605 5.441177 -7.60746 5.4220195 CEU
tsk_2655 -5.592479 0.14620519 5.6383953 -7.0479884 0.3241285 CEU
tsk_2656 -6.891593 -1.7494743 3.4023013 -4.0953913 2.9928212 CEU
tsk_2661 -5.4981313 -1.831446 1.9069694 -1.4412214 2.6144707 CEU
tsk_2666 -3.8166058 -2.5586991 -2.679062 3.540835 -2.0017877 CEU
tsk_2679 -4.472797 -1.5121846 -3.807822 -0.13266954 0.23273326 CEU
tsk_2709 -4.8316574 -1.8946229 -0.14647307 -3.2485592 6.358132 CEU
tsk_3137 -0.93730015 0.3023772 -4.475319 -0.5081889 1.131503 MXL
tsk_3140 -4.0643477 9.493583 -4.6811333 -7.4309154 -0.09543409 MXL
tsk_3145 -1.7950121 7.039838 0.064275496 -4.0423856 -1.8445221 MXL
tsk_3163 -2.074893 15.91151 -1.5871902 -0.85525215 -0.43513831 MXL
tsk_3168 -3.9126787 5.005011 -2.658449 -4.594407 1.7729619 MXL
tsk_3169 -4.35148 7.970232 -4.6716127 -0.50055104 -3.215263 MXL
tsk_3175 -3.7330155 12.984043 -7.2958474 -4.241289 -4.903769 MXL
tsk_3184 -2.8158689 16.016 -5.317156 -3.8877609 -5.843158 MXL
tsk_3186 -3.2426064 17.853317 -1.3879124 -7.6057153 0.13425095 MXL
tsk_3193 -1.42976 6.412697 -8.119166 -1.5939537 -4.590211 MXL
tsk_3199 -3.0139525 11.605938 -3.257307 -4.102525 -2.23747 MXL
tsk_3201 -2.1464205 13.689915 -4.1690507 0.04491391 -2.552784 MXL
